Palavra,Link,Instituicao
ACOMPANHADO,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/acompanhadoSm_Prog001.mp4,GoiásLibras · base nacional
ACOMPANHAR1,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/acompanhar1Sm_Prog001.mp4,GoiásLibras · base nacional
ACOMPANHAR2,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/acompanhar2Sm_Prog001.mp4,GoiásLibras · base nacional
ACONCHEGAR,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/aconchegarSm_Prog001.mp4,GoiásLibras · base nacional
ACONSELHAR,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/aconselharSm_Prog001.mp4,GoiásLibras · base nacional
ACONTECER1,https://dicionario.ines.gov.br/public/media/palavras/videos/acontecerSm_Prog001.mp4,GoiásLibras · base nacional
ACONTECER2,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/acontecer2Sm_Prog001.mp4,GoiásLibras · base nacional
ACONTECER3,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/acontecer3Sm_Prog001.mp4,GoiásLibras · base nacional
ACORDADO,https://dicionario.ines.gov.br/public/media/palavras/videos/acordado2Sm_Prog001.mp4,GoiásLibras · base nacional
ACORDAR1,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/acordar1Sm_Prog001.mp4,GoiásLibras · base nacional
ACORDAR2,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/acordar2Sm_Prog001.mp4,GoiásLibras · base nacional
ACORDAR3,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/acordoSm_Prog001.mp4,GoiásLibras · base nacional
ACORDEÃO,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/acordeaoSm_Prog001.mp4,GoiásLibras · base nacional
ACORDO,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/acordoSm_Prog001.mp4,GoiásLibras · base nacional
ACORRENTAR,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/acorrentarSm_Prog001.mp4,GoiásLibras · base nacional
ACOSTUMADO,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/acostumadoSm_Prog001.mp4,GoiásLibras · base nacional
ACOSTUMAR,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/acostumarSm_Prog001.mp4,GoiásLibras · base nacional
ACOTOVELAR,https://dicionario.ines.gov.br/public/media/palavras/videos/acotovelarSm_Prog001.mp4,GoiásLibras · base nacional
ACRE,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/acreSm_Prog001.mp4,GoiásLibras · base nacional
ACREDITAR,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/acreditarSm_Prog001.mp4,GoiásLibras · base nacional
ACRESCENTAR,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/acrescentarSm_Prog001.mp4,GoiásLibras · base nacional
ACROBATA1,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/acrobata1Sm_Prog001.mp4,GoiásLibras · base nacional
ACROBATA2,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/acrobata2Sm_Prog001.mp4,GoiásLibras · base nacional
ACUADO,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/acuadoSm_Prog001.mp4,GoiásLibras · base nacional
ACUAR,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/acuarSm_Prog001.mp4,GoiásLibras · base nacional
ACUMULAR,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/acumularSm_Prog001.mp4,GoiásLibras · base nacional
ACUPUNTURA,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/acupunturaSm_Prog001.mp4,GoiásLibras · base nacional
ACUSAR,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/acusarSm_Prog001.mp4,GoiásLibras · base nacional
ADERNAR,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/adernarSm_Prog001.mp4,GoiásLibras · base nacional
ADESIVO,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/adesivoSm_Prog001.mp4,GoiásLibras · base nacional
ADEUS1,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/adeusSm_Prog001.mp4,GoiásLibras · base nacional
ADEUS2,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/adeus2Sm_Prog001.mp4,GoiásLibras · base nacional
ADIANTADO,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/adiantadoSm_Prog001.mp4,GoiásLibras · base nacional
